Question,Answer
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
"hello, may i speak to alice please?",this is she. how's it going?
this is she. how's it going?,i've been trying to call you all day.
i've been trying to call you all day.,sorry about that. i was cleaning up.
sorry about that. i was cleaning up.,it's okay.
it's okay.,so what were you calling me about?
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
"sure, what did you want to do?",maybe we can go see a movie or something.
maybe we can go see a movie or something.,that sounds like fun. let's do it.
that sounds like fun. let's do it.,i'll see you tomorrow then.
i'll see you tomorrow then.,see you then. goodbye.
what reason do you have for missing school?,i was sick.
i was sick.,how were you sick?
how were you sick?,i had a stomachache.
i had a stomachache.,did it get any better?
did it get any better?,i'm still feeling under the weather.
i'm still feeling under the weather.,would you like anything for your stomach?
do you take good care of it?,"oh, yes. i wash it once a week."
"oh, yes. i wash it once a week.",do you change the oil?
do you change the oil?,my mechanic changes the oil twice a year.
do you have a girlfriend?,"no, i don't. do you?"
"no, i don't. do you?","i don't have a girlfriend, either."
"i don't have a girlfriend, either.",why not?
why not?,i don't know. maybe i'm not rich enough.
i don't know. maybe i'm not rich enough.,girls like guys with money.
girls like guys with money.,they sure do.
they sure do.,they like guys with new cars.
they like guys with new cars.,i don't have money or a new car.
i don't have money or a new car.,"me, neither."
"me, neither.",but girls like guys who are funny.
but girls like guys who are funny.,maybe we should learn some good jokes.
where are you going?,i have to walk the dog.
i have to walk the dog.,what kind of dog do you have?
what kind of dog do you have?,i have a little poodle.
i have a little poodle.,poodles bark a lot.
poodles bark a lot.,they sure do.
they sure do.,they bark at everything.
they bark at everything.,they never shut up.
they never shut up.,why did you get a poodle?
why did you get a poodle?,it's my mom's dog.
it's my mom's dog.,so she likes poodles.
so she likes poodles.,she says they're good watchdogs.
can i borrow $5?,sure. why do you need it?
sure. why do you need it?,i want to buy lunch.
i want to buy lunch.,where's your money?
where's your money?,it's not in my wallet.
it's not in my wallet.,your wallet is empty?
your wallet is empty?,i don't have even one dollar in it.
i don't have even one dollar in it.,being broke is no fun.
being broke is no fun.,even if it's only for a short while.
even if it's only for a short while.,it's always good to have friends.
it's always good to have friends.,friends will lend you money when you're broke.
friends will lend you money when you're broke.,as long as you pay them back.
let's go to the beach.,that's a great idea.
that's a great idea.,we haven't been in a while.
we haven't been in a while.,we haven't been in a month.
we haven't been in a month.,"the last time we went, you almost drowned."
"the last time we went, you almost drowned.","no, i didn't."
"no, i didn't.",then why did the lifeguard dive into the water?
then why did the lifeguard dive into the water?,i think he wanted to cool off.
i think he wanted to cool off.,he swam right up to you.
he swam right up to you.,and then he turned right around.
and then he turned right around.,maybe you're right.
maybe you're right.,maybe we should get going.
are you married?,no. i'm divorced.
no. i'm divorced.,when did you get divorced?
when did you get divorced?,i got divorced two years ago.
i got divorced two years ago.,why did you get divorced?
why did you get divorced?,my wife left me.
my wife left me.,why did she leave you?
why did she leave you?,she said she didn't love me anymore.
she said she didn't love me anymore.,wow! that's terrible.
wow! that's terrible.,"yes, it was."
"yes, it was.",why didn't she love you anymore?
why didn't she love you anymore?,she fell in love with my best friend.
i'm bored.,what's on tv?
what's on tv?,nothing.
nothing.,there must be something on tv!
there must be something on tv!,nothing that's interesting.
nothing that's interesting.,what about that new game show?
what about that new game show?,which one?
which one?,deal or no deal
deal or no deal,tell me you're joking.
tell me you're joking.,i love that show.
i love that show.,i watched it once. that was enough.
i watched it once. that was enough.,it's on right now. let's watch it together.
i like living here.,i agree. pasadena is a nice city.
i agree. pasadena is a nice city.,it's not too big.
it's not too big.,and it's not too small.
and it's not too small.,it has great weather all year long.
it has great weather all year long.,it has the rose parade.
it has the rose parade.,it has beautiful houses.
it has beautiful houses.,it has wonderful restaurants.
it has wonderful restaurants.,it has great schools.
it has great schools.,it's close to the mountains.
it's close to the mountains.,the people are friendly.
the people are friendly.,i'm not ever going to leave.
we need a new mattress.,what's the matter with this one?
what's the matter with this one?,it's not comfortable.
it's not comfortable.,it seems fine to me.
it seems fine to me.,i toss and turn all night.
i toss and turn all night.,you should stop drinking coffee.
you should stop drinking coffee.,look at these marks on my arms.
look at these marks on my arms.,what are they?
what are they?,they are bites.
they are bites.,did the cat bite you?
did the cat bite you?,no. the bedbugs in that mattress bit me.
no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.
my laptop is so slow.,buy a new one.
buy a new one.,i would if i had the money.
i would if i had the money.,why is it so slow?
why is it so slow?,that's a good question.
that's a good question.,did you take it to a computer shop?
did you take it to a computer shop?,i would if i had the money.
i would if i had the money.,"well, i guess you have to live with it."
"well, i guess you have to live with it.",sometimes i want to throw it out the window.
sometimes i want to throw it out the window.,you don't want to do that.
you don't want to do that.,why not?
why not?,you might hit someone in the head.
what's for dinner?,i'm not sure.
i'm not sure.,how about a pizza?
how about a pizza?,you had pizza for lunch.
you had pizza for lunch.,but i love pizza.
but i love pizza.,everybody loves pizza.
everybody loves pizza.,so why can't i have pizza for dinner?
so why can't i have pizza for dinner?,because you need variety.
because you need variety.,"what's ""variety?"
"what's ""variety?",different things¬ónot the same thing all the time.
different things¬ónot the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza."
we need to save money.,why do we need to save money?
why do we need to save money?,because we need to buy a house.
because we need to buy a house.,but a house is so expensive.
but a house is so expensive.,that's why we need to save money.
that's why we need to save money.,how much do we need to save?
how much do we need to save?,we need to save enough for a down payment.
we need to save enough for a down payment.,how much is that?
how much is that?,"that's about $30,000."
"that's about $30,000.",thirty thousand dollars! that will take forever.
thirty thousand dollars! that will take forever.,not if we save every penny.
not if we save every penny.,okay. here's seven pennies.
the ocean is so big.,you can't see the end of it.
you can't see the end of it.,it goes on and on forever.
it goes on and on forever.,"and it's deep, too."
"and it's deep, too.",i think it's five miles deep.
i think it's five miles deep.,are there fish at the bottom?
are there fish at the bottom?,there are fish at the top and the bottom.
there are fish at the top and the bottom.,are there more fish or more people?
are there more fish or more people?,i think there are more fish.
i think there are more fish.,i hope so. i love to eat fish.
i'm upset with my mom.,why is that?
why is that?,i warned her about her new boyfriend. she didn't listen to me.
i warned her about her new boyfriend. she didn't listen to me.,what happened?
what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself."
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
that was very nice of you.,i found out that she gave it to her new boyfriend.
i found out that she gave it to her new boyfriend.,why did she do that?
why did she do that?,he said he would buy her a nice ring.
he said he would buy her a nice ring.,what's wrong with that?
what's wrong with that?,he went to las vegas. he lost it all gambling.
he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
do animals talk to each other?,of course they talk to each other.
of course they talk to each other.,what do they talk about?
what do they talk about?,they talk about other animals.
they talk about other animals.,what else do they talk about?
what else do they talk about?,they talk about food and the weather.
they talk about food and the weather.,do they talk about us?
do they talk about us?,of course they talk about us.
of course they talk about us.,what do they say about us?
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
what's your email address?,it's bluedog123.
it's bluedog123.,bluedog123. are you sure that's all?
bluedog123. are you sure that's all?,yes.
yes.,no. that's incomplete.
no. that's incomplete.,what do you mean?
what do you mean?,what's your mailing address?
what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
"456 cherry drive, pasadena, ca 91170.",that's correct.
that's correct.,so what's the problem?
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
i'm going to take a nap.,you should unplug the phone.
you should unplug the phone.,that's a good idea.
that's a good idea.,do you want me to wake you in an hour?
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
i'll start dinner at 6:00.,okay. i think i'll be awake by then.
okay. i think i'll be awake by then.,"if not, your nose will wake you up."
"if not, your nose will wake you up.",you mean i will smell the food cooking?
you mean i will smell the food cooking?,you might even dream about dinner.
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
that was a nice funeral.,"yes, dad, it was."
"yes, dad, it was.",the son gave a nice speech about his father.
the son gave a nice speech about his father.,"it was long, too."
"it was long, too.",i think it was about 45 minutes long.
i think it was about 45 minutes long.,but it went by fast. it was interesting.
but it went by fast. it was interesting.,i liked it.
i liked it.,"i'll give you a speech like that, too."
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
do you think anyone will come to my funeral?,of course.
of course.,i think only the family will be there.
i think only the family will be there.,"you have lots of friends. they will be there, too!"
yikes! what was that noise?,i had to blow my nose.
i had to blow my nose.,did you have to blow right next to the phone?
did you have to blow right next to the phone?,did you hear that?
did you hear that?,of course i heard that. i thought a plane had crashed into your house.
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
okay. i'll take your word for it.,i thought you had an elephant in your house.
i thought you had an elephant in your house.,you're funny.
you're funny.,what did you say? i think i've gone deaf.
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
i have lots of friends.,really? how many do you have?
really? how many do you have?,"i don't know, maybe one hundred."
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
of course. i have lots of best friends.,how many best friends do you have?
how many best friends do you have?,i think about twenty-five.
i think about twenty-five.,hmm. i have only one best friend.
hmm. i have only one best friend.,i feel sorry for you.
i feel sorry for you.,i have only a few friends.
i have only a few friends.,you must be lonely. i will share my friends with you.
you must be lonely. i will share my friends with you.,that's very nice of you.
don't you ever cheat on me.,why would i do that?
why would i do that?,because men like to cheat.
because men like to cheat.,"some men do, but not me."
"some men do, but not me.",i'm watching you.
i'm watching you.,i'm an open book. watch me all you want.
i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
i will poke your eyes out. ,i don't want any other woman.
i don't want any other woman.,"i will chop your toes off, one by one."
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
i hate to go outside.,me too.
me too.,why do you hate to go outside?
why do you hate to go outside?,i meet too many jerks.
i meet too many jerks.,i agree.
i agree.,this city is full of jerks.
this city is full of jerks.,rude people are everywhere.
rude people are everywhere.,but what can you do?
but what can you do?,you can yell at them.
you can yell at them.,and they will yell back at you.
and they will yell back at you.,yelling doesn't do any good.
yelling doesn't do any good.,no. the best thing to do is just stay home.
will you look at this form?,are you having problems with it?
are you having problems with it?,i don't understand some things.
i don't understand some things.,let me help you.
let me help you.,"what does ""mi"" mean?"
"what does ""mi"" mean?",mi stands for middle initial.
mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
that means month/day/year. use numbers.,i don't understand.
i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
let's go to the animal shelter.,what do you want to do?
what do you want to do?,i want to get a puppy for my son.
i want to get a puppy for my son.,that will make him so happy.
that will make him so happy.,i'll get him one of those little dogs.
i'll get him one of those little dogs.,one that won't grow up too big.
one that won't grow up too big.,and eat too much.
and eat too much.,do you know which one he would like?
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
i bet you had to drag him away.,he wanted to take it home yesterday.
he wanted to take it home yesterday.,i wonder what he'll name it.
what's the weather like?,i don't know. i just woke up.
i don't know. i just woke up.,why don't you look outside?
why don't you look outside?,okay. it looks like rain.
okay. it looks like rain.,why do you say that?
why do you say that?,the sky is gray.
the sky is gray.,is it raining right now?
is it raining right now?,no.
no.,how do you know?
how do you know?,the street isn't wet.
the street isn't wet.,i have to go shopping today.
i have to go shopping today.,you'd better take an umbrella.
i can't believe how hot it is.,it's not even noon yet.
it's not even noon yet.,that means it will get hotter.
that means it will get hotter.,i am dying from the heat.
i am dying from the heat.,turn on the air conditioner.
turn on the air conditioner.,it doesn't work.
it doesn't work.,what happened?
what happened?,i don't know.
i don't know.,did you call the repairman?
did you call the repairman?,of course.
of course.,when is he coming?
when is he coming?,he's busy. he said next week.
i'll be glad when winter comes.,why is that?
why is that?,because i love the snow.
because i love the snow.,"yes, the snow is fun."
"yes, the snow is fun.",last year we made a big snowman.
last year we made a big snowman.,how big was it?
how big was it?,it was seven feet tall.
it was seven feet tall.,how long did it take?
how long did it take?,it took us all day.
it took us all day.,did you give him a nose?
did you give him a nose?,of course. we gave him a big carrot for a nose.
of course. we gave him a big carrot for a nose.,let me help you make one this year.
i'm going to the bank.,what do you need to do?
what do you need to do?,i need to withdraw some money.
i need to withdraw some money.,how are you going to do that?
how are you going to do that?,i'll just use the atm.
i'll just use the atm.,what's that?
what's that?,it's the automatic teller machine.
it's the automatic teller machine.,it gives you money?
it gives you money?,i just insert my debit card into the machine.
i just insert my debit card into the machine.,and it gives you money?
and it gives you money?,"well, it gives me money, but it's my own money."
"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
did you put the blue bin out on the street?,"oh, no. i forgot."
"oh, no. i forgot.","well, you'd better take it out front."
"well, you'd better take it out front.",what time does the recycle truck come by?
what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
"oh, no, you don't.",what do you mean?
what do you mean?,every morning you get up late and rush off to work late.
every morning you get up late and rush off to work late.,do you think i'll forget to do it?
do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
are you ready?,ready for what?
ready for what?,ready for the big switch.
ready for the big switch.,what are you talking about?
what are you talking about?,the nation is switching to digital tv.
the nation is switching to digital tv.,oh. of course i'm ready.
oh. of course i'm ready.,did you buy the converter?
did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
"no, i don't need a converter because i bought a digital tv.",how much was that?
how much was that?,it was only about $120 for a 13-inch screen.
it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
people are funny.,they sure are.
they sure are.,did you hear about the pilot?
did you hear about the pilot?,the one that stole a small plane?
the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
did he crash?,"no, he just landed the plane and walked to a restaurant."
"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
the police need our help finding a robber.,how do you know?
how do you know?,the tv news is reporting a bank robbery.
the tv news is reporting a bank robbery.,do they know what the robber looks like?
do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
what race is he?,they didn't say.
they didn't say.,the tv news doesn't tell us the race anymore.
the tv news doesn't tell us the race anymore.,of course not. that would be racist.
of course not. that would be racist.,but how can we identify someone if we don't know their race?
but how can we identify someone if we don't know their race?,don't ask me.
don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
don't wipe your nose on your sleeve.,but i don't have a tissue.
but i don't have a tissue.,then go find a tissue in the bathroom.
then go find a tissue in the bathroom.,i didn't have time to get one from there.
i didn't have time to get one from there.,your sleeves are not tissues.
your sleeves are not tissues.,"but mom, all my friends use their sleeves."
"but mom, all my friends use their sleeves.",that doesn't make it right.
that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
i will talk to your father about that.,i bet dad did it all the time when he was my age.
i bet dad did it all the time when he was my age.,your daddy was a good little boy.
your daddy was a good little boy.,"how do you know? were you his mommy, too?"
i'm worried.,worried about what?
worried about what?,i'm getting married.
i'm getting married.,"you should be happy, not worried."
"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
"yes, you have to take care of your wife.",and i have to take care of our children.
and i have to take care of our children.,are you going to start a family?
are you going to start a family?,yes. we want to have a little boy and a little girl.
yes. we want to have a little boy and a little girl.,that sounds wonderful.
that sounds wonderful.,except we can't afford it!
except we can't afford it!,no wonder you're worried.
i don't get art.,or artists.
or artists.,they're in a different world.
they're in a different world.,i saw a painting of a jar that was full of pencils.
i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
but it was full of pencils! how could he say it was empty?,artists see things differently.
artists see things differently.,did you ever see anything that picasso painted?
did you ever see anything that picasso painted?,of course! he's world famous.
of course! he's world famous.,did he ever take art lessons?
did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
what's the point?,the point of what?
the point of what?,of living.
of living.,"who knows? you live, and then you die."
"who knows? you live, and then you die.",we must be here for some reason.
we must be here for some reason.,maybe we're here to have fun.
maybe we're here to have fun.,then why aren't i having fun?
then why aren't i having fun?,because you're thinking too much.
because you're thinking too much.,so i should stop thinking?
so i should stop thinking?,stop thinking about what the point is.
stop thinking about what the point is.,okay. i'll start thinking about having some fun.
okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
beer is a powerful drug.,so are cigarettes.
so are cigarettes.,which would you prefer?
which would you prefer?,what do you mean?
what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
"well, you can't have everything.",i don't think i want to go to your heaven.
my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
who carries a sharp knife in their pocket?,"criminals, of course."
"criminals, of course.","anyway, i have to fix the hole."
"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
you can sew it up or use an iron-on patch.,tell me about this patch.
tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
do you know any good jokes?,i can't remember jokes.
i can't remember jokes.,neither can i.
neither can i.,they go in one ear and out the other.
they go in one ear and out the other.,who makes up all these jokes?
who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
"yes, just in english alone.",i wonder if every language has jokes.
i wonder if every language has jokes.,of course! people everywhere like good jokes.
of course! people everywhere like good jokes.,what do you think people joke about the most?
what do you think people joke about the most?,i think most jokes are about women.
i think most jokes are about women.,"oh, really? i think most jokes are about men!"
you're very lucky.,why do you say that?
why do you say that?,you speak two languages.
you speak two languages.,"well, my english isn't perfect."
"well, my english isn't perfect.",no one speaks perfect english.
no one speaks perfect english.,maybe i will be the first!
maybe i will be the first!,i've been thinking about learning spanish.
i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
how long will it take me to learn?,i think it will only take you a year or two.
i think it will only take you a year or two.,how soon can we begin?
how soon can we begin?,ahora! that means right now.
do you know what today is?,"yes, it's april 22."
"yes, it's april 22.",it's more than just a date.
it's more than just a date.,is it your birthday or anniversary?
is it your birthday or anniversary?,"no, it's earth day."
"no, it's earth day.",what's that?
what's that?,it's a yearly reminder to take care of our planet.
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
poetry sucks.,i don't know anyone who likes it.
i don't know anyone who likes it.,"some of it is okay, i guess."
"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
"like ""one, two, buckle my shoe.""",but people still write poems.
but people still write poems.,no one makes any money at it.
no one makes any money at it.,shakespeare was a poet.
shakespeare was a poet.,did he get rich from his poetry?
did he get rich from his poetry?,probably not.
probably not.,poems are a little bit like songs.
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
how smart are you?,i don't know. i think i'm average.
i don't know. i think i'm average.,did you ever take an iq test?
did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
i wish i was really smart.,don't be ridiculous.
don't be ridiculous.,what do you mean?
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
